Id,SalePrice
1461,124172.44218993718
1462,154036.76276379495
1463,182773.68948696693
1464,178504.44115177283
1465,193167.02484110135
1466,184523.59591684514
1467,166237.95221405508
1468,176093.76021442752
1469,182956.61193955725
1470,122570.28421659989
1471,203509.92911614059
1472,92507.84213829415
1473,99225.49680941923
1474,155434.23405083953
1475,151559.2845407723
1476,371475.95889250736
1477,249464.47889663954
1478,306575.3932745149
1479,242507.71693681978
1480,467433.1754207103
1481,301049.41210800206
1482,201602.2563983326
1483,171853.40690761124
1484,178666.24702128232
1485,171590.66207996316
1486,196170.3966035856
1487,312899.84996171645
1488,235750.3667687755
1489,205210.9774880158
1490,185310.9809119824
1491,193073.496655389
1492,97447.36511214051
1493,173823.24942692326
1494,291895.1710728
1495,293485.0326187501
1496,232522.58392934047
1497,192667.21786862644
1498,155011.9812707016
1499,153481.9090734781
1500,149031.68116942566
1501,175425.37711499474
1502,163080.37457638572
1503,276360.02338990173
1504,232276.5850051732
1505,216734.97563253704
1506,175850.85525723387
1507,205524.86932095233
1508,194300.60609917602
1509,159230.67921415463
1510,154192.52998995688
1511,152619.1628789303
1512,163393.1253187684
1513,151522.1936565327
1514,153415.889609886
1515,181087.66506677534
1516,160022.4197562758
1517,150093.49938022564
1518,134152.35145033064
1519,222393.63376733143
1520,140492.76182061364
1521,146646.629109662
1522,165967.86429124122
1523,115712.77728650502
1524,119303.21868070254
1525,127202.51544933583
1526,128173.17862721813
1527,101705.3734153034
1528,126664.97708476632
1529,142858.9616856912
1530,170195.92485657998
1531,120974.57766702579
1532,110055.4412692945
1533,137361.02841165982
1534,113993.09954628289
1535,152315.3543637956
1536,116597.73849379532
1537,75971.73311680484
1538,171590.73143025328
1539,216019.52147978192
1540,113346.18212243756
1541,142393.6198937399
1542,139668.4467591641
1543,212476.58552016574
1544,82593.61051248226
1545,99344.12682690346
1546,119480.14166301973
1547,134408.13216089288
1548,127593.22837536826
1549,101899.12266049474
1550,139064.89119356035
1551,117890.96509052259
1552,137354.68396199393
1553,133227.5036698725
1554,110231.42938752852
1555,171409.5551591067
1556,90623.84347672062
1557,125069.31417298973
1558,87166.88177238584
1559,107304.67451203818
1560,146373.9465749686
1561,136231.05059096278
1562,127309.17680829705
1563,127123.09475689394
1564,162237.13216235407
1565,155086.883991124
1566,237003.8318457393
1567,78939.81283644387
1568,215759.8702435331
1569,135805.6341258622
